city,state,latitude,longitude,address
Leeds,Alabama,33.54341,-86.58759,"6900 Buc-eeâ€™s Blvd. Leeds, Alabama 35094"
Loxley,Alabama,30.63452,-87.676437,"20403 County Rd. 68 Robertsdale, Alabama 36567"
Daytona Beach,Florida,29.2236,-81.10091,"2330 Gateway North Drive Daytona Beach, FL 32117"
Saint Augustine,Florida,29.98373,-81.46405,"200 World Commerce Pkwy Saint Augustine, Florida 32092"
Calhoun,Georgia,34.4405053,-84.9170924,"601 Union Grove Rd. SE Adairsville, GA 30103"
Warner Robins,Georgia,32.5844148,-83.7404413,"7001 Russell Parkway Fort Valley, Georgia 31030"
Richmond,Kentucky,37.6728858,-84.3082621,"1013 Buc-ee's Boulevard Richmond, Kentucky 40475"
Florence,South Carolina,34.2671212,-79.7026901,"3390 North Williston Road Florence, South Carolina 29506"
Alvin,Texas,29.4302242,-95.2263698," 780 Hwy-35 N Byp Alvin, Texas 77511"
Angleton,Texas,29.1848755,-95.4090882," 2299 E Mulberry St Angleton, Texas 77515"
Angleton,Texas,29.1729533,-95.4338832,"2304 W Mulberry St Angleton, Texas 77515"
Bastrop,Texas,29.164029,-95.4549625,"1700 Highway 71 East Bastrop, Texas 78602"
Baytown,Texas,30.0704766,-97.2281821,"4080 East Freeway Baytown, Texas 77521"
Brazoria,Texas,29.8003201,-94.9995298,"801 N Brooks Brazoria, Texas 77422"
Brazoria,Texas,29.0346568,-95.5671409," 1101 S Brooks Brazoria, Texas 77422"
Cypress,Texas,29.9809079,-95.7181596,"27106 US-290 Cypress, Texas 77433"
Denton,Texas,33.1793585,-97.1026557,"2800 S Interstate 35 E Denton, Texas 76210"
Eagle Lake,Texas,29.4497951,-96.397459," 505 E Main St Eagle Lake, Texas 77434"
Ennis,Texas,32.3474388,-96.6242755,"1402 South IH- 45 Ennis, Texas 75119"
Forth Worth,Texas,33.0243686,-97.2782514,"15901 N Freeway Fort Worth, Texas 76177"
Freeport,Texas,29.0869472,-95.2909067," 4231 E. Hwy 332 Freeport, Texas 77541"
Freeport,Texas,28.9694813,-95.3699057,"1002 N Brazosport Blvd. Freeport, Texas 77541"
Giddings,Texas,30.1797644,-96.9137286,"2375 E Austin St Giddings, Texas 78942"
Katy,Texas,29.7786492,-95.8474131,"27700 Katy Fwy Katy, Texas 77494"
Lake Jackson,Texas,29.0407261,-95.4132599,"899 Oyster Creek Drive Lake Jackson, Texas 77566"
Lake Jackson,Texas,29.0645549,-95.4337044," 101 N Hwy 2004 Lake Jackson, Texas 77566"
Lake Jackson,Texas,29.0211004,-95.4366918,"598 Hwy 332 Lake Jackson, Texas 77566"
League City,Texas,29.498945,-95.0564271," 1702 League City Pkwy League City, Texas 77573"
Luling,Texas,29.6509644,-97.5923327,"10070 West IH 10 Luling, Texas 78658"
Madisonville,Texas,30.9653214,-95.8802767,"205 IH-45 South Madisonville, Texas 77864"
Melissa,Texas,33.27143929,-96.59235477,"1550 Central Texas Expressway Melissa, Texas 75454"
New Braunfels,Texas,29.7265761,-98.0787075," 2760 IH 35 North New Braunfels, Texas 78130"
Pearland,Texas,29.5603218,-95.2854517," 2541 S Main St Pearland, Texas 77584"
Pearland,Texas,29.5805714,-95.3917947,"11151 Shadow Creek Pky Pearland, Texas 77584"
Port Lavanca,Texas,28.6099519,-96.6491497,"2318 W Main Port Lavaca, Texas 77979"
Richmond,Texas,29.5525458,-95.6970437,"1243 Crabb River Rd Richmond, Texas 77469"
Royse City,Texas,32.9411408,-96.372682,"5005 E Interstate 30 Royse City, Texas 75189"
Temple,Texas,31.1361855,-97.3285267," 4155 N General Bruce Dr. Temple, Texas 76501"
Terrell,Texas,32.7167698,-96.321301," 506 W. IH 20 Terrell, Texas 75160"
Texas City,Texas,29.428508,-95.0632357,"6201 Gulf Fwy (IH 45) Texas City, Texas 77591"
Waller,Texas,30.0580891,-95.9315443,"40900 US Hwy 290 Bypass Waller, Texas 77484"
Wharton,Texas,29.3780494,-96.0824545,"10484 US 59 Road Wharton, Texas 77488"